HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi1g69370.1 1142 1303 132 856 2721 1122 592 676
Bradi1g69380.3 82 38 10 33 71 34 44 44
Bradi1g69390.6 209 91 28 114 296 136 81 155
Bradi1g69394.1 0 0 0 0 0 0 0 0
Bradi1g69398.1 634 566 99 367 936 675 460 568
Bradi1g69400.1 276 228 35 224 557 326 171 271
Bradi1g69407.3 183 231 27 227 886 198 117 165
Bradi1g69420.12 3149 2152 431 2060 5077 1614 1225 2159
Bradi1g69430.2 505.514 420.725 42.232 300.449 750.033 301.614 297.885 351.325
Bradi1g69435.1 0 0 0 0 0 0 0 0
Bradi1g69446.1 0 0 0 0 0 0 0 0
Bradi1g69450.1 1335.377 1288.569 144.172 957.77 2149.373 1150.175 898.7 918.185
Bradi1g69460.4 1107 826 107 651 2022 993 590 824
Bradi1g69463.1 192 115 18 125 323 150 51 105
Bradi1g69470.3 724.109 863.706 210.596 633.781 1982.594 772.211 773.415 767.49
Bradi1g69476.1 1019 1075.487 448.13 768.328 1916.527 1772.769 1422.98 855.175
Bradi1g69480.4 2146 1629 214 1116 3798 1540 1035 1154
Bradi1g69490.1 141 209 15 71 288 181 116 141
Bradi1g69500.13 667 437 37 434 1008 436 378 466
Bradi1g69510.1 592 424 54 358 1169 494 363 527
Bradi1g69520.3 1926 1486 160 1158 3294 1217 1036 1565.956
Bradi1g69525.1 0 0 0 0 0 0 0 0
Bradi1g69530.1 290.041 599.163 236 209.007 1594.494 577.137 466.09 573.133
Bradi1g69540.1 213 205 58 152 324 353 268 218
Bradi1g69550.1 842 592 211 1248 2093 1460 1009 1818
Bradi1g69552.1 0 0 0 0 0 0 0 0
Bradi1g69554.1 14 15 1 17 18 4 5 16
Bradi1g69557.1 327 327 133 177 653 378 271 284
Bradi1g69564.1 249 231 17 202 437 224 186 232
Bradi1g69571.2 681 726 110 349 1671 731 851 507
Bradi1g69580.1 0 4 0 10 0 0 17 0
Bradi1g69590.4 539 375 40 513 1178 376 260 478
Bradi1g69600.1 508 310 108 554 818 573 369 549
Bradi1g69610.1 125 121 47 119 274 186 183 179
Bradi1g69617.4 1278 754 75 663 1849 819 472 933
Bradi1g69627.1 236 324 153 340 691 274 258 340
Bradi1g69637.2 2308.999 1057 619 1990 3291.921 1709 1196 3071.924
Bradi1g69641.1 0 0 0 0 0 0 0 0
Bradi1g69650.9 2287 1842 789 2421 5848 3973 2711 4176
Bradi1g69655.1 0 0 0 0 0 0 0 0
Bradi1g69660.1 48 42 34 28 107 78 62 90
Bradi1g69670.1 1306.001 726 208.001 737 1559 780 437 589.001
Bradi1g69680.1 1034 943 188 634 1955 908 514 513
Bradi1g69685.1 0 0 0 0 0 0 0 0
Bradi1g69690.1 13 16 3 51 60 54 36 44
Bradi1g69700.1 179 175 19 160 356 119 119 178
Bradi1g69710.1 634 685 146 101 652 390 296 378
Bradi1g69720.8 1453 744 92 959 2120 924 669 1002
Bradi1g69726.1 0 0 0 0 12 0 1 0
Bradi1g69730.1 0 0 0 0 0 0 0 0
Bradi1g69740.1 950 962 343 539 1902 1097 427 463
Bradi1g69747.1 23 35 25 40 96 56 58 73
Bradi1g69760.2 0 0 0 0 0 0 0 0
Bradi1g69770.1 144 114 30 60 223 101 124 157
Bradi1g69780.1 1714 1114 135 977 2343 1197 805 1395
Bradi1g69790.1 10 18 1 9 29 35 21 43
Bradi1g69800.1 16 0 0 7 6 12 5 0
Bradi1g69805.1 0 1 0 0 0 2 0 1
Bradi1g69810.3 86 60 4 53 152 60 64 86
Bradi1g69820.2 58 38 54 70 171 64 40 92
Bradi1g69821.1 0 0 0 0 0 0 0 0
Bradi1g69822.2 0 0 0 0 3 0 0 0
Bradi1g69823.1 0 0 0 0 3 0 0 1
Bradi1g69827.1 221 122 42 175 289 241 167 364
Bradi1g69840.1 317 272 22 153 492 259 179 198
Bradi1g69850.1 21 20 0 1 1 0 2 2
Bradi1g69860.3 10 15 9 20 72 46 12 22
Bradi1g69870.2 975 1098 151 802 2926 684 494 761
Bradi1g69880.3 2588 1815 225 1326 4184 2208 1470 1997
Bradi1g69890.2 0 0 0 4 4 0 0 3
Bradi1g69900.1 76 32 27 75 182 110 90 116
Bradi1g69910.2 2561.974 2442.983 230 1067.997 4669.418 1303.924 644.202 1125.011
Bradi1g69925.6 28.026 35.017 5 16.003 85.582 45.076 20.798 29.989
Bradi1g69927.2 8 9 2 4 20 2 5 7
Bradi1g69930.5 618 584.001 56.002 375 1143.001 397.003 285.004 329.001
Bradi1g69980.1 613 413 88 461 1286 599 352 550
Bradi1g69990.1 155 71 20 110 177 124 130 157
Bradi1g70000.1 807 414 66 329 1009 319 248 479
Bradi1g70006.1 0 20 0 39 103 48 30 38
Bradi1g70017.1 124 128 13 119 447 162 202 141
Bradi1g70028.1 213.938 174.264 10 110.263 279.008 151 79.959 107
Bradi1g70040.1 199 225 11 127 457 233 205 240
Bradi1g70050.1 56 30 3 54 237 12 34 45
Bradi1g70052.1 19 38.912 4 52.637 126.236 59.017 69.098 85.14
Bradi1g70054.1 56 71 6 75 204 89 70 112
Bradi1g70057.1 1234 428 32 607 1350 556 437 916
Bradi1g70067.1 19 59 12 39 197 57 68 40
Bradi1g70080.6 2094 1222 142 1197 2770 1125 915 1607
Bradi1g70090.1 101 119 32 95 318 175 147 151
Bradi1g70100.2 0 0 0 0 0 0 0 0
Bradi1g70110.1 0 0 0 0 0 0 0 0
Bradi1g70120.1 0 0 0 0 0 0 0 0
Bradi1g70135.1 218 250 32 178 335.869 248.977 147 232.918
Bradi1g70150.1 0 0 0 0 0 0 0 0
Bradi1g70160.1 1889 1748 225 915 3227.001 1735 776.001 1309
Bradi1g70165.1 810 493 26 405 1278 637 389 273
Bradi1g70170.1 409 305 86 334 710 405 331 549
Bradi1g70180.1 3418 2163 353 2411 6226 3372 2259 3558
Bradi1g70188.1 7 5 0 4 11 0 0 5
Bradi1g70191.1 0 0 0 0 0 0 3 0
Bradi1g70195.1 0 2 0 0 0 1 0 0
Bradi1g70200.2 168 106 31 101 246 124 134 153
Bradi1g70210.2 215 63 6 98 234 172 104 157
Bradi1g70215.1 0 0 0 0 1 0 0 0
Bradi1g70220.1 53 89 7 79 244 106 125 180
Bradi1g70232.1 0 0 0 0 2 0 0 0
Bradi1g70240.1 10 0 0 4 1 2 0 10
Bradi1g70250.2 349 524 29 242 842 460 271 327
Bradi1g70252.1 0 0 0 3 0 0 0 0
Bradi1g70255.1 0 8 14 3 18 23 17 24
Bradi1g70260.1 0 0 0 0 0 0 0 0
Bradi1g70265.1 0 0 0 0 0 0 0 0
Bradi1g70271.1 0 0 0 0 0 0 0 0
Bradi1g70280.1 647 319 68 421 1060 639 402 672
Bradi1g70290.1 1427 848 131 1112 2772 1012 748 1525
Bradi1g70300.1 593 522 114 605 1347 617 485 644
Bradi1g70307.1 51 50 9 55 138 48 43 29
Bradi1g70312.1 4 0 0 0 16.131 9.023 7 9.082
Bradi1g70320.1 0 0 0 0 0 0 0 0
Bradi1g70325.1 0 0 0 0 0 0 0 0
Bradi1g70330.1 640 600 96 581 1248 632 519 627
Bradi1g70340.6 223 87 26 67 411 77 64 81
Bradi1g70350.3 242 142 5 100 351 132 71 159
Bradi1g70360.1 238 293 24 182 471 191 144 196
Bradi1g70370.2 235.835 133.779 9.154 74.558 283.239 142.998 84.654 129.325
Bradi1g70380.1 125 162 64 78 252 137 67 78
Bradi1g70390.1 5025 5503 457 1854 9337 2840 1690 1911
Bradi1g70398.1 0 0 0 0 0 0 0 0
Bradi1g70407.3 1361 638 87 707 1537 632 686 953
Bradi1g70420.1 161 192 198 193 622 394 250 301
Bradi1g70430.1 2045 1533 362 1362 5253 2341 1294 1712
Bradi1g70440.1 587 543 78 316 1373 474 238 477
Bradi1g70450.2 1812 1078 152 947 2852 1273 1059 1458
Bradi1g70460.4 1408 993 151 849 2118 980 623 1024
Bradi1g70470.1 20 0 0 0 5 2 11 0
Bradi1g70480.1 0 0 16 2 0 23 25 9
Bradi1g70490.1 0 0 0 0 0 0 0 0
Bradi1g70500.1 0 0 0 0 0 2 5 1
Bradi1g70510.3 0 0 0 0 0 0 0 0
Bradi1g70520.1 0 0 0 0 0 0 0 0
Bradi1g70523.1 0 0 0 0 0 0 0 0
Bradi1g70526.1 0 0 0 0 0 0 0 0
Bradi1g70530.1 0 0 0 0 0 0 0 4
Bradi1g70540.1 0 0 0 0 0 0 0 0
Bradi1g70550.3 0 0 0 0 5 8 0 1
Bradi1g70560.1 0 0 0 0 1 0 5 1
Bradi1g70570.1 716 371 82 464 1075 638 416 920
Bradi1g70576.1 6 0 0 0 0 0 0 3
Bradi1g70580.2 136 79 43 93 318 157 157 168
Bradi1g70590.1 534 449 81 351 917 385 269 580
Bradi1g70600.1 778 641 109 559 1910 885 532 663
Bradi1g70610.1 132 157 83 193 578 431 306 386
Bradi1g70620.1 1037 852 78 698 1741 1035 685 956
Bradi1g70627.1 46 117 12 59 203 75 67 77
Bradi1g70637.1 78 28 0 44 108 96 63 47
Bradi1g70650.1 1147 1384 190 664 3086 932 682 1246
Bradi1g70653.1 11 0 1 0 10 6 6 5
Bradi1g70657.1 941.035 509.045 75.164 487.365 1217.994 661.537 484.302 595.074
Bradi1g70670.1 0 0 0 0 0 0 0 0
Bradi1g70680.1 26 16 16 50 291 72 43 27
Bradi1g70690.1 229 248 17 266 599 289 210 362
Bradi1g70700.1 361 1013 254 327 2316 397 270 267
Bradi1g70705.1 0 0 0 0 0 0 0 0
Bradi1g70710.2 625.623 619.138 118.998 403.557 1502.943 828.826 550.65 553.109
Bradi1g70720.3 119 131 23 90 329 69 33 62
Bradi1g70725.1 5788.049 6402.81 521.285 3840.806 10932.133 4606.277 2993.775 3484.361
Bradi1g70730.1 72 150 24 24 220 107 25 52
Bradi1g70740.1 461 422 112 523 1397 631 359 490
Bradi1g70750.1 306 253 116 317 784 513 384 435
Bradi1g70761.1 628 450 236 735 1038 900 496 400
Bradi1g70770.1 587 498 118 514 1587 468 313 399
Bradi1g70780.1 2294 3184 1335 2071 6865 3120 2286 2415
Bradi1g70785.1 0 0 0 2 0 0 0 0
Bradi1g70790.1 133 75 20 31 157 102 78 90
Bradi1g70800.1 0 8 0 3 20 9 4 5
Bradi1g70805.3 0 10 6 13 54 12 24 17
Bradi1g70806.1 0 0 0 0 1 5 0 2
Bradi1g70807.1 0 0 0 0 0 0 0 0
Bradi1g70810.5 327 248 92 437 752 422 353 646
Bradi1g70820.5 134 85 46 149 253 163 87 96
Bradi1g70830.8 374 294 41 173 570 321 323 266
Bradi1g70840.1 464 399 64 258 900 426 241 321
Bradi1g70850.1 520 329 25 182 501 258 172 312
Bradi1g70860.1 0 0 0 0 0 0 0 0
Bradi1g70871.1 0 0 0 0 0 0 0 0
Bradi1g70880.2 63 93 5 66 213 108 38 93
Bradi1g70890.1 620 480 74 306 925 425 343 491
Bradi1g70900.1 112 99 16 81 215 118 101 194
Bradi1g70907.2 22 17 14 14 28 38 1 33
Bradi1g70920.1 1398 1178 102 1438 9283 1037 620 894
Bradi1g70930.4 1040 1000 297 550 791 1276 1019 980
Bradi1g70933.1 0 5 0 0 0 0 2 0
Bradi1g70936.1 520 267 12 217 779 292 268 364
Bradi1g70942.1 0 0 0 0 0 0 0 2
Bradi1g70951.1 0 0 0 0 1 0 0 0
Bradi1g70960.3 550 479 34 266 951 557 399 445
Bradi1g70965.1 9 2 0 0 21 6 5 0
Bradi1g70970.2 53 15 1 28 210 32 21 8
Bradi1g70990.1 18 5 1 2 11 18 12 14
Bradi1g71000.1 156 177 36 138 289 152 112 129.002
Bradi1g71010.1 0 0 0 0 0 0 0 0
Bradi1g71020.1 756 712 198 920 3087 1137 673 1044
Bradi1g71030.3 380 276 30 399 1065 310 172 320
Bradi1g71040.1 13 8 0 6 15 0 3 0
Bradi1g71050.2 0 0 0 0 0 0 0 0
Bradi1g71057.1 410 373 39 306 866 434 269 333
Bradi1g71070.2 276 176 46 97 392 166 97 199
Bradi1g71077.1 0 5 0 1 3 5 1 4
Bradi1g71082.1 111.773 47.515 10.729 31.015 164.778 75.912 68.005 86.975
Bradi1g71090.1 96.227 169.485 21.271 97.985 416.222 250.088 160.995 160.025
Bradi1g71100.1 535 467 27 334 945 473 300 363
Bradi1g71110.2 165 240 45 163 519 478 313 203
Bradi1g71120.1 344 223 58 163 438 214 145 141
Bradi1g71131.1 0 0 0 1 0 0 0 0
Bradi1g71140.1 0 0 0 0 0 0 0 0
Bradi1g71150.2 0 0 0 0 0 0 0 0
Bradi1g71160.3 327 263 83 352 674 345 191 411
Bradi1g71170.1 814 729 127 650 2225 1100 536 757
Bradi1g71180.1 254 205 48 135 426 240 150 177
Bradi1g71190.1 383 350 26 404 798 403 255 437
Bradi1g71200.1 4277.996 4101 777 2523 10327 6412 4848 3855
Bradi1g71206.1 0 0 0 0 2 0 0 0
Bradi1g71210.1 139 156 31 85 334 132 98 100
Bradi1g71220.1 0 5 0 0 7 0 1 2
Bradi1g71230.5 161 85 64 167 371 178 96 171
Bradi1g71240.2 52 113 25 78 623 166 82 164
Bradi1g71250.1 434 209 36 262 573 306 164 333
Bradi1g71260.2 138 124 24 77 188 94 72 94
Bradi1g71270.1 14 39 12 25 56 37 16 36
Bradi1g71280.2 446 554 67 149 779 819 589 384
Bradi1g71290.1 849 728 83 549 1299 657 358 727
Bradi1g71300.1 1646.496 1399.264 147.343 705.125 2622.545 1608.581 903.092 1054.36
Bradi1g71310.4 859 336 53 671 1311 584 347 567
Bradi1g71315.1 0 0 0 1 5 12 7 5
Bradi1g71317.1 0 0 0 0 0 0 0 0
Bradi1g71320.1 15 49 13 22 78 64 17 40
Bradi1g71330.1 317 244 82 148.994 371.884 208.951 239.033 225.022
Bradi1g71333.1 0 0 0 0 0 0 1 0
Bradi1g71340.3 2002 1980 248 1171 3406 1679 1265 1379
Bradi1g71350.1 1 28 12 32 76 16 18 12
Bradi1g71360.1 81 149 52 108 455 152 77.991 56
Bradi1g71370.1 1819 1057 576 2253 4184 1582 1065 2103
Bradi1g71372.6 15 21 1 9 60 16 22 7
Bradi1g71373.1 554 393 47 566 2032 498 247 319
Bradi1g71374.1 11 2 0 2 12 3 2 0
Bradi1g71375.1 0 11 0 8 0 9 3 4
Bradi1g71377.1 491 531 96 188 917 443 339 320
Bradi1g71390.3 86 120 19 61 203 108 92 80
Bradi1g71400.1 392 232 21 199 500 246 155 254
Bradi1g71410.2 448.114 358.145 39 243.739 516.27 311.981 191.177 212.086
Bradi1g71420.2 440 356 321 490 1009 709 509 898
Bradi1g71425.1 881 524 144 619 1251 1036 556 1057
Bradi1g71430.1 31 7 0 10 47 18 23 1
Bradi1g71450.1 780 754 168 571 1769 923 584 800
Bradi1g71460.1 22 18 32 69 144 56 46 95
Bradi1g71465.1 861 1019 414 807 2528 1494 805 1514
Bradi1g71470.1 0 0 0 0 0 0 0 0
Bradi1g71480.1 53 114 31 45 241 109 61 107
Bradi1g71490.3 43 14 0 17 69 15 6 17
Bradi1g71495.2 167 62 7 89 204 86 69 126
Bradi1g71500.5 0 18 2 10 75 17 6 13
Bradi1g71505.1 0 0 0 0 1 0 0 0
Bradi1g71510.1 683 629 118 471 1528 469 351 433
Bradi1g71511.1 0 0 0 0 0 0 0 0
Bradi1g71513.1 0 0 0 0 0 0 0 0
Bradi1g71517.1 410 255 33 233 674 384 310 222
Bradi1g71530.1 16 0 0 1 13 0 2 3
Bradi1g71540.1 615 375 266 528 2364 713 272 297
Bradi1g71560.1 0 0 0 0 0 5 0 0
Bradi1g71570.1 834.47 1654.433 333.032 901.91 3598.349 2447.321 1322.184 1329.519
Bradi1g71575.1 281 384 49 285 752 516 328 252
Bradi1g71580.1 32 56 22 192 254 195 183 336
Bradi1g71586.1 313 301 35 162 565.13 214 134 225
Bradi1g71592.1 0 0 0 0 17.87 0 0 0
Bradi1g71600.2 1892 1632 187 1116 2949 1514 988.003 1394
Bradi1g71620.1 189 201 33 115 423 222 157 204
Bradi1g71624.1 0 0 0 0 0 0 0 2
Bradi1g71626.1 0 0 5 3 10 7 3 2
Bradi1g71630.1 0 0 0 0 0 0 0 1
Bradi1g71637.1 0 0 0 0 0 0 0 0
Bradi1g71640.2 10 10 2 1 11 10 0 7
Bradi1g71650.1 645 854 182 553 1995 1094 913 567
Bradi1g71660.1 763 1035 156 564 2002 835 527 657
Bradi1g71667.1 1359 960 214 1299 2768 1017 621 1006
Bradi1g71673.2 0 4 0 0 0 0 3 0
Bradi1g71680.1 82 181 65.427 91 341 138 128 198
Bradi1g71690.1 900 978 151.573 586 1474 856 685 988
Bradi1g71700.1 1955 1701 456 1264 4438 2578 1205 1672
Bradi1g71710.1 57 28 8 27 65 49 44 40
Bradi1g71730.1 153 173 17 112 395 183 111 174
Bradi1g71736.1 0 5 0 0 0 0 0 6
Bradi1g71740.1 90 47 4 12 20.001 31 39 25
Bradi1g71745.1 122 83 7 64 203 82 30 127
Bradi1g71751.1 0 0 0 0 7 0 2 4
Bradi1g71756.1 4 4 0 12 30 9 0 8
Bradi1g71760.3 38 3.024 1 7.966 15 0 2 6.001
Bradi1g71770.2 0 0 0 0 0 0 0 2
Bradi1g71781.1 144.999 110.463 15 110.093 256.399 129.389 84.204 109.161
Bradi1g71790.1 462 294 157 378 939 834 370 644
Bradi1g71800.3 449 392 64 320 982 522 352 420
Bradi1g71810.2 2325 1772 185 1437 6096 1502 916 1384
Bradi1g71820.1 266 258 28 381 1016 327 154 302
Bradi1g71830.1 421 498 53 387.999 947 507 370 393
Bradi1g71836.1 0 0 0 4 0 0 0 2
Bradi1g71840.7 84 71 27 74 309 90 49 129
Bradi1g71850.2 0 0 0 0 0 0 0 0
Bradi1g71860.1 289 168 48 242 432 373 319 579
Bradi1g71870.3 141 167 59 135 365 157 126 261
Bradi1g71880.1 228 247 73 54 201 167 34 85
Bradi1g71890.2 370 396 58 182 560 310 216 198
Bradi1g71897.1 0 0 0 0 0 0 0 0
Bradi1g71910.3 19 11 3 4 20 6 18 20
Bradi1g71920.1 402 512 137 544 2757 460 190 266
Bradi1g71930.1 797 451 204 505 1655 859 494 752.538
Bradi1g71937.1 0 0 0 0 0 0 0 0
Bradi1g71948.1 280 280 137 337 1225 473 321 455
Bradi1g71960.1 65 91 36 203 527 162 103 173
Bradi1g71971.1 12 41 4 11 170.012 24 0 9
Bradi1g71982.1 43 75 24 49 484.988 95 27 58
Bradi1g71990.3 18 5 8 10 29 30 77 3
Bradi1g72000.2 0 0 0 2 0 0 0 0
Bradi1g72007.1 306 230 51 101 168 114 132 134
Bradi1g72018.1 16 16 0 3 2 1 4 4
Bradi1g72030.1 0 0 0 0 0 0 0 0
Bradi1g72040.1 1 0 0 0 0 0 0 4
Bradi1g72050.1 53 51 8 17 82 49 35 37
Bradi1g72060.3 405 455 55 379 1041 478 395 382
Bradi1g72070.1 216 176 24 213 506 242 188 277
Bradi1g72080.1 196 158 38 84 344 150 97 127
Bradi1g72086.3 668 398 32 387 1043 507 397 508
Bradi1g72092.3 746 495 26 430 769 426 392 573
Bradi1g72100.1 395 294 77 340 918 664 631 390
Bradi1g72110.1 1869 461 801 2565 3710 1973 1055 3571
Bradi1g72120.1 583 554 139 527 1575 541 363 598
Bradi1g72130.7 239 229 37 153 473 152 122 217
Bradi1g72142.1 62 114 48 69 164 113 61 108
Bradi1g72150.9 2018 2137 550 1062 4411 1827 1169 1295
Bradi1g72160.6 1096 1208 85 703 2048 830 638 971
Bradi1g72180.2 244 290 93 231 685 415 245 442
Bradi1g72185.4 105 73 8 32 169 55 65 64
Bradi1g72196.1 0 5 0 0 7 0 0 2
Bradi1g72200.2 0 0 0 0 0 0 0 0
Bradi1g72210.1 0 0 0 0 3 0 0 0
Bradi1g72220.1 0 0 0 0 0 0 0 0
Bradi1g72230.1 0 0 0 0 1 0 0 0
Bradi1g72237.1 0 0 0 0 0 0 0 3
Bradi1g72250.6 369.043 449.051 70.008 261.716 1096.178 570.86 382.99 452.048
Bradi1g72260.1 358 430 83 236 990 559 306 314
Bradi1g72270.1 166 118 96 104 308 221 132 160
Bradi1g72280.1 315 193 28 131 497 212 203 325
Bradi1g72286.1 14 21 0 1 18 7 6 28
Bradi1g72290.2 41 4 5 8 16 12 9 5
Bradi1g72295.1 8 0 0 13 4 7 1 3
Bradi1g72300.3 0 1 0 0 9 0 0 2
Bradi1g72310.6 862 881.066 149 546.183 1590.532 692.108 716.225 830.665
Bradi1g72320.1 629 615 69 266 904 584 355 350
Bradi1g72330.1 22 51 28 45 121 73 56 39
Bradi1g72337.1 0 3.036 0 0 17.01 0 0 12.828
Bradi1g72350.1 133 106.964 26 119 213.99 197 186 330.172
Bradi1g72360.1 0 0 0 0 0 3 0 0
Bradi1g72371.1 142 55 10 45.003 137.193 84.01 64.074 112.254
Bradi1g72381.1 39 20 2 8 34 18 23 40
Bradi1g72390.1 2892 1858 293 1534 5154 2494 1239 1429
Bradi1g72400.1 1647 1033 98 1043 2484 1148 886 1198
Bradi1g72405.1 0 0 0 2 0 4 0 0
Bradi1g72410.1 20 23 11 4 24 12 9 14
Bradi1g72417.1 62.021 29 16 45 85 33 14 47
Bradi1g72430.1 4624.979 3329 484 3292 7638 3314 2615 5031
Bradi1g72440.1 313 91 10 211 825 47 73 32
Bradi1g72449.1 1124 1407 318 920 2813.995 1640 1208 810
Bradi1g72457.1 106 608 25 47 93 97 84 71
Bradi1g72470.1 2040 1863 229 1037 3356 1416 1207 1442
Bradi1g72480.1 770.046 902.102 227 741.035 2025.964 917.016 809.938 931.112
Bradi1g72482.1 86 66 21 80 179 87 65 61
Bradi1g72485.1 0 2 0 0 2 8 4 2
Bradi1g72490.3 3949 2806 250 1704 5499 2033 1277 2135
Bradi1g72500.1 0 0 0 0 1 0 0 0
Bradi1g72510.11 1737 1173 170 1075 3359 1094 756 1351
Bradi1g72517.2 0 0 0 3 11 6 4 10
Bradi1g72550.1 0 0 0 0 6 0 0 0
Bradi1g72560.1 4017 3407 1058 3745 7283 4351 2556 4653
Bradi1g72572.2 278 209 84 346 768 534 317 378
Bradi1g72580.2 33 43 2 32 76 1 15 44
Bradi1g72585.1 8 0 0 0 3 0 0 4
Bradi1g72590.1 1165 925 335 1507 5897 687 588 439
Bradi1g72600.1 159 74 41 46 406 37 47 34
Bradi1g72610.2 161 52 66 39 142 20.036 63 25
Bradi1g72620.1 516 410 29 390 982 469 429 455
Bradi1g72630.1 0 0 0 0 1 0 0 0
Bradi1g72640.1 3899 3509 577 2154 7124 3269 2255 2599
Bradi1g72650.20 2732 2347 287 1792 4899 1475 974 1410
Bradi1g72660.1 1198 1945 329 607 2757 1428 822 716
Bradi1g72670.3 0 4 0 1 20 8 10 6
Bradi1g72680.1 936 821 120 753 2334 758 506 757
Bradi1g72690.3 608 290 85 333 640 400 410 594
Bradi1g72700.1 0 8 31 30 273 11 36 5
Bradi1g72718.1 13 5 1 29 14 10 3 14
Bradi1g72721.1 0 0 1 0 0 0 1 0
Bradi1g72724.1 0 0 0 0 3 0 0 0
Bradi1g72727.1 138.527 87.453 10 37 122.98 55 58 62
Bradi1g72731.1 76 36 9 8 68 30 21 37
Bradi1g72735.2 0 0 0 0 0 0 0 0
Bradi1g72740.1 622 900 200 503 1919 730 490 563
Bradi1g72750.2 528 330 31 322 879 390 388 427
Bradi1g72756.1 0 26 5 24 77 51 43 51
Bradi1g72762.1 318 184 141 462 970 459 285 651
Bradi1g72770.1 15 18 3 20 67 46 32 20
Bradi1g72780.1 808 549 353 806 1703 943 758 1185
Bradi1g72790.1 728 490 33 531 1000 568 419 496
Bradi1g72800.1 266 271 33 203 531 279 160 251
Bradi1g72820.1 119.473 105.547 3 51 139.02 112 34 105
Bradi1g72830.1 693 631 88 373 1097 685 444 521
Bradi1g72836.1 46 12 3 2 26 4 18 0
Bradi1g72842.1 0 0 0 0 0 0 0 0
Bradi1g72850.3 396.238 412.314 36.413 253.961 972.337 392.762 167.072 259.898
Bradi1g72860.1 0 0 0 0 2 1 2 0
Bradi1g72871.1 190 219 107 164 888 350 136 152
Bradi1g72881.1 266 317 61 339 929 305 207 278
Bradi1g72890.2 0 7 1 3 23 6 8 4
Bradi1g72900.1 732 590 90 435 1729 809 419 470
Bradi1g72905.1 0 0 0 0 0 0 0 0
Bradi1g72910.1 580 379 142 616 1375 298 262 428
Bradi1g72920.1 48 52 9 47 135 113 67 81
Bradi1g72927.2 723 604 116 610 1519 840 696 958
Bradi1g72940.1 361 361 64 372 733 690 421 455
Bradi1g72950.1 175 230.35 52 97 493.021 355.81 107 144.001
Bradi1g72960.4 950.007 859.007 185.008 549.386 1587.017 698.006 411.025 628.014
Bradi1g72963.1 95 156 24 66 376 161 92 133
Bradi1g72967.2 675 725 112 495 1487 856 698 788
Bradi1g72980.1 1361 1119 162 630 2775 1719 1026 941
Bradi1g72990.3 21 0 0 3 11 5 4 8
Bradi1g73000.1 197 94 12 88 206 122 105 183
Bradi1g73004.1 0 3 0 0 7 2 8 1
Bradi1g73010.1 212 137 46 184 644 206 149 204
Bradi1g73013.1 0 0 0 0 0 0 0 0
Bradi1g73016.1 0 0 0 0 0 0 0 0
Bradi1g73026.1 0 0 0 0 0 0 0 0
Bradi1g73030.1 725 486 47 324 1193 538 324 438
Bradi1g73040.1 928 842 236 524 2319 1039 691 792
Bradi1g73046.1 0 0 0 0 0 0 0 0
Bradi1g73056.3 593 457 52 328 963 373 275 566
Bradi1g73060.21 185 178 36 128 488 202 180 211
Bradi1g73070.1 0 5 0 0 6 0 7 0
Bradi1g73080.1 0 0 0 1 0 2 15 0
Bradi1g73090.1 0 0 0 0 0 0 0 0
Bradi1g73094.1 0 0 0 0 0 0 0 0
Bradi1g73096.2 0 0 0 0 0 0 0 0
Bradi1g73100.1 27 157 22 31 217 403 258 109
Bradi1g73110.1 862.088 584.359 43.048 501.384 1401.918 604.084 579.226 626.328
Bradi1g73120.1 2775.912 2136.641 424.952 1391.616 3525.082 2181.916 1504.774 2025.672
Bradi1g73127.1 39 3 0 1 4 6 0 0
Bradi1g73140.1 143 83 55 108 292 221 84 127
Bradi1g73150.2 0 0 0 0 0 0 0 0
Bradi1g73161.13 37 17 1 4 49 24 26 22
Bradi1g73170.1 2114 1792 528 1678 4832 1415 981 1323
Bradi1g73180.1 0 2 0 3 1 0 0 0
Bradi1g73190.1 1172.999 624 242.183 751 2216.992 1160 531 1168.13
Bradi1g73200.1 162 124 86 175 300 217 172 228
Bradi1g73210.1 1896 1349 142 779 2394 967 579 1055
Bradi1g73220.6 320 163 33 155 435 179 171 177
Bradi1g73230.1 30 79 34 58.835 327.504 82.981 62 53
Bradi1g73235.1 0 3 0 0 0 0 0 0
Bradi1g73236.1 432.239 255.038 65 291.103 700.959 267.011 252.18 340.025
Bradi1g73240.1 124 157 31 91 499 191 104 157
Bradi1g73446.1 666 428 105 311 756 314 249 383
Bradi1g73619.1 0 2 0 0 0 2 0 2
Bradi1g73660.1 72 44 8 49 139 89 52 61
Bradi1g73665.1 0 0 0 3.165 6.496 4.019 0 0
Bradi1g73667.1 0 0 0 0 0 0 1 0
Bradi1g73670.2 302 528 172 272 1375 421 250 262
Bradi1g73680.2 0 0 4 7 35 0 0 2
Bradi1g73690.6 43 34 7 41 109 54 63 69
Bradi1g73700.1 230 187 68 152 395 266 202 216
Bradi1g73710.1 1258 823 91 809 1170 736 372 514
Bradi1g73720.1 120 108 38 59 146 92 68 73
Bradi1g73730.1 80.425 35.131 13.562 34.829 85.549 53.643 59.53 113.564
Bradi1g73740.1 347 223 26 133 385 246 158 221
Bradi1g73748.2 8 12 1 10 19 19 0 9
