HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi1g01014.1 1345 1866 387 1071 4165 1956 1129 1123
Bradi1g01021.1 517 246 140 464 1001 701 517 903
Bradi1g01030.1 0 0 0 0 0 0 0 0
Bradi1g01040.2 0 0 0 0 1 0 0 1
Bradi1g01047.1 826 593 308 608 1549 1143 864 1020
Bradi1g01058.4 92 69 16 62 194 80 24 103
Bradi1g01070.1 196 141 35 115 322 197 165 170
Bradi1g01075.1 0 0 0 0 0 0 0 0
Bradi1g01080.1 243 141 89.075 166.106 327.083 357.159 269.22 321
Bradi1g01090.1 1996 1326 194.925 1286.894 3292.917 1765.841 886.781 1694
Bradi1g01100.1 245 280 91 153 594 395 231 200
Bradi1g01110.1 348 259 39 245 590 507 413 311
Bradi1g01120.1 43 66 19 75 197 180 123 115
Bradi1g01130.2 1019.702 788.208 94.847 606.362 1604.736 806.832 613.508 677.621
Bradi1g01140.1 336.254 352.856 40.154 195.649 561.633 316.519 291.431 295.927
Bradi1g01150.1 64 31 28 75 101 118 47 85
Bradi1g01160.2 0 0 0 0 0 9 5 0
Bradi1g01170.9 675 563 59 360 909 424 305 442
Bradi1g01176.1 10 0 0 0 1 9 0 3
Bradi1g01177.1 0 1 0 2 3 0 0 0
Bradi1g01178.1 0 3 0 0 4 4 3 2
Bradi1g01180.1 24 11 10 4 29 4 16 13
Bradi1g01190.1 136 159 146 200 2601 176 115 304
Bradi1g01200.1 268.044 227.935 34.999 185.989 341.631 254.649 178.06 203.452
Bradi1g01210.2 75 37 18 38 143 119 35 79
Bradi1g01220.3 191 138 39 176 326 343 238 255
Bradi1g01227.1 628 636 103 477 1397 528 364 521
Bradi1g01240.3 0 0 0 0 10 3 1 0
Bradi1g01250.4 963 497 105 630 1232 560 654 762
Bradi1g01257.1 1101 647.121 48 522 1584.606 736.962 577 764.001
Bradi1g01270.3 163 184 59 22 302 134 83 130
Bradi1g01280.1 99 26 15 17 76 68 53 51
Bradi1g01290.1 752 921 227 670 2163 931 641 943
Bradi1g01300.1 55 70 38 51 119 113 59 80
Bradi1g01310.1 163 93 93 205 493 277 104 306
Bradi1g01320.1 269 343 92 160 665 509 334 215
Bradi1g01330.3 75 107 25 43 199 129 48 82
Bradi1g01332.1 1 2 3 0 0 1 0 0
Bradi1g01336.1 0 13.867 0 1 11.001 4 0 8
Bradi1g01338.1 0 0 0 0 1 0 0 1
Bradi1g01342.1 22 0 0 0 5 0 0 0
Bradi1g01343.1 0 4 0 0 5 1 0 3
Bradi1g01344.1 0 1 1 0 0 0 3 2
Bradi1g01357.1 17 4 0 0 2 20 2 0
Bradi1g01363.1 34 47 26 81 104 49 67 84
Bradi1g01380.2 599.059 382.535 58.727 304.029 1064.813 374.617 290.736 504.862
Bradi1g01387.5 103 66 18 49 166 40 52 77
Bradi1g01392.1 0 1 1 3 11 4 6 0
Bradi1g01397.2 17 11.879 0 9 22 21 14 14
Bradi1g01407.2 1880.941 1417.465 176.273 1179.971 3555.581 1658.421 1038.264 1646.137
Bradi1g01420.1 420 414 64 358 1216 411 279 358
Bradi1g01427.1 0 19 0 2 12 19 26 13
Bradi1g01434.1 75 20 0 6 0 7 7 12
Bradi1g01442.2 0 36 3 8 31 3 13 4
Bradi1g01450.1 0 0 0 0 0 0 0 0
Bradi1g01455.1 0 0 0 0 0 0 0 0
Bradi1g01460.1 141 88 15 67 217 231 183 177
Bradi1g01465.1 0 0 0 0 0 0 0 0
Bradi1g01470.1 20 12 1 15 11 8 22 12
Bradi1g01480.1 1162 787 470 1250 2397 1618 1074 1410
Bradi1g01487.1 326 218 29 207 387 310 255 213
Bradi1g01500.1 360 292.008 137 309 763.01 456 257.648 383.001
Bradi1g01507.1 818 761 69 504 1722 826 548 652
Bradi1g01520.2 7 3 1 2 27 11 9 5
Bradi1g01530.1 1244 956 130 686 1967 857 628 894
Bradi1g01546.1 222 200 24 99 190 155 88 112
Bradi1g01551.1 17 0 0 0 8 7 0 0
Bradi1g01560.2 3102.882 2692.274 299.005 1634.992 5589.333 2543.808 1646.624 1834.177
Bradi1g01570.1 984 1012 323 684 1764 1041 727 783
Bradi1g01580.1 2238 1728 267 1017 3837 2147 1576 1562
Bradi1g01590.1 0 0 0 0 0 2 0 0
Bradi1g01593.1 0 0 0 0 5 0 0 0
Bradi1g01594.1 0 0 0 0 0 0 0 0
Bradi1g01596.1 0 5 0 5 28 27 7 8
Bradi1g01598.1 0 0 0 0 0 0 0 0
Bradi1g01600.1 1078 1194 387 791 3080 2003 1423 1078
Bradi1g01610.1 251 524 205 335 1368 764 582 644
Bradi1g01620.1 176 180 110 179 430 303 258 302
Bradi1g01630.1 603 518 363 537 1479 713 477 785
Bradi1g01640.2 1 7 5 9 27 13 14 19
Bradi1g01650.1 0 0 0 0 0 0 0 0
Bradi1g01656.3 0 0 0 5 0 0 1 0
Bradi1g01660.1 1963 1195 307 1864 3981 2612 1631 1680
Bradi1g01670.1 155 111 21 103 209 114 117 113
Bradi1g01683.1 0 0 0 0 0 0 0 0
Bradi1g01685.1 7 13 0 10 17 11 5 14
Bradi1g01687.1 0 1 0 1 5 0 2 4
Bradi1g01694.1 161 88 21 91 161 93 85 99
Bradi1g01696.1 69 41 26 40 56 57 37 45
Bradi1g01700.3 0 0 1 0 0 0 0 1
Bradi1g01710.1 350 504 63 272 1000 521 290 409
Bradi1g01720.1 292 354 99 380 1037 580 347 472
Bradi1g01730.1 886 834 120 379 1911 722 308 448
Bradi1g01740.1 1027 542 46 709 1291 810 507 844
Bradi1g01750.1 917 758 213 827 2879 645 442 640
Bradi1g01760.1 394 326 85 390 1229 556 228 472
Bradi1g01770.3 808.886 645.855 295 667.261 1925.73 1355.019 1038.823 1166.914
Bradi1g01780.1 196 269 85 150 487 292 317 248
Bradi1g01790.2 8 17 9 24 61 25 43 18
Bradi1g01795.1 0 0 0 0 0 0 0 0
Bradi1g01800.4 687 353 71 409 991 587 512 460
Bradi1g01801.1 0 0 0 0 0 0 0 0
Bradi1g01802.1 83.201 57.654 29.895 62.803 193.644 89.224 77.659 117.331
Bradi1g01810.8 128 62 7 56 143 114 71 103
Bradi1g01820.1 285 258 73 185 809 383 124 272
Bradi1g01830.6 522 681 74 439 1407 597 414 480
Bradi1g01835.1 0 0 0 0 0 0 0 0
Bradi1g01840.1 1034 725 56 533 1436 867 454 985
Bradi1g01847.2 523 249 47 241 591 342 226 392
Bradi1g01860.2 0 1 0 2 6 0 0 2
Bradi1g01870.2 984 798 339 658 1835 1084 705 1072
Bradi1g01873.1 0 0 0 0 0 0 0 0
Bradi1g01877.1 24 4 3 3 13 9 8 0
Bradi1g01880.1 688 339 71 551 1298 497 297 281
Bradi1g01890.1 35 7 7 19 79 20 19 7
Bradi1g01900.1 915 614 65 310 963 579 446 591
Bradi1g01910.1 0 0 0 0 0 0 0 0
Bradi1g01920.1 1624.712 902.645 573.661 1653.675 3276.525 1761.805 822.72 2260
Bradi1g01930.3 847.288 583.36 60.339 424.325 1348.475 579.195 414.28 557
Bradi1g01936.4 877 836 96.178 736.999 2291.974 857.998 645.998 721.999
Bradi1g01947.1 47 80 7 21.995 118 47.869 39 31
Bradi1g01948.1 162.812 105.263 26.52 106.681 201.896 97.902 77.888 36.309
Bradi1g01949.1 82.566 60.333 1 44.248 134.175 49.551 28.311 25.532
Bradi1g01961.1 0 0 0 0 0 0 0 0
Bradi1g01963.1 0 0 0 0 0 0 0 0
Bradi1g01965.1 43.001 9.094 2 6.998 10.256 16.011 3.568 10.928
Bradi1g01970.1 94.481 43.132 5.161 87.407 129.303 75.588 85.84 86.819
Bradi1g01980.1 200.188 138.737 19.48 126.324 294.104 172.229 84.112 142.691
Bradi1g01985.7 36 14 3 9.977 4.888 8.696 10 11.999
Bradi1g01990.6 570.427 443.667 29 317.136 760.816 467.449 392.459 404.885
Bradi1g02000.2 427 335 33 235 549 323 190 279
Bradi1g02010.1 60 47 7 28 48 44 12 28
Bradi1g02020.1 2824 2058 336 1632 4160 2018 1533 2037
Bradi1g02030.1 1148 798 540 1601 2725 2117 1634 2459
Bradi1g02040.2 0 3 0 5 5 1 0 3
Bradi1g02050.6 10 18 0 8 12 16 9 22
Bradi1g02060.1 4001 3349 667 2481 6188 2964 2029 3445
Bradi1g02066.1 0 0 0 0 0 0 0 0
Bradi1g02072.1 0 6 0 10 4 1 3 0
Bradi1g02080.1 328 231 58 213 721 299 218 236
Bradi1g02090.2 2098 1694 366 1430 3854 1889 1033 1822
Bradi1g02100.1 1025 731.005 191.989 545 1734 670.013 433 483
Bradi1g02111.1 0 3 0 0 9 3 0 0
Bradi1g02117.1 297 197.001 29 151.001 416 132 98 198
Bradi1g02130.4 67 91 10 45 121 63 59 47
Bradi1g02138.1 300 202 27 113 293.999 204 130 158
